作物,年份,1月價格,2月價格,3月價格,4月價格,5月價格,6月價格,7月價格,8月價格,9月價格,10月價格,11月價格,12月價格,
甜椒(青椒)(元/公斤),2017年,18,8.92,8.64,11.81,14.77,37.24,57.11,34.58,35.36,45.68,-,-,
西瓜(大粒)(元/公斤),2017年,-,-,15,13.55,14.43,12.25,15.58,-,-,-,-,-,
西瓜(小粒)(元/公斤),2017年,-,-,10.83,10.75,10.83,9.36,16.12,-,-,11.75,-,-,
西瓜(無子)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(元/ 公斤),2017年,39.82,39.7,41.26,39.17,35.06,27.53,35.89,22.33,23.78,27.39,-,-,
洋香瓜(網狀紅肉)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(網狀青肉)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
洋香瓜(光面青肉)(元/公斤),2017年,-,-,-,-,-,-,-,,,-,-,-,
香瓜(美濃瓜)(元/公斤),2017年,-,-,52.67,39.89,22.98,26.17,28.28,26.75,34.58,30.11,-,-,
敏豆(四季豆)(元/公斤),2017年,27.5,37.17,51.33,62.17,63.22,86.37,85.58,71.12,72.69,76.22,-,-,
豇豆(元/公斤),2017年,24,27.66,38.06,37.75,28.97,32.33,30.42,42.07,42.33,43.50,-,-,
豌豆(元/公斤),2017年,45.22,48.96,75.07,71,-,-,-,-,-,-,-,-,
甜豌豆(元/公斤),2017年,36.75,35,44.33,67,-,-,-,-,-,-,-,-,
毛豆(帶莢)(元/公斤),2017年,28.35,14.7,14.25,14.25,14.17,-,-,-,-,-,-,-,
菜豆(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
辣椒(元/公斤),2017年,90,47.02,31.89,26.25,22.59,17.53,48.08,85.63,103.12,84.41,-,-,
玉米筍(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
甜玉米(鮮食)(元/公斤),2017年,12.26,13.85,21.97,17.77,11.3,12.11,18,21.35,17.11,17.62,-,-,
蓮藕(元/公斤),2017年,35.3,-,-,-,-,-,-,39.33,34.67,22.50,-,-,
草莓(元/公斤),2017年,132.5,296.11,183.89,116.44,-,-,-,-,-,-,-,-,
洋菇(元/公斤),2017年,81.67,76.89,86,98.83,106.83,108,87.67,95,98.33,112.50,-,-,
香菇(太空包)乾(元/公斤),2017年,1527.5,1535,1497.5,1474.17,1466.67,1477.5,1475,1456.67,1475,1482.50,-,-,
香菇(太空包)鮮(元/公斤),2017年,103.33,103.89,101.67,103.22,102.67,103.33,105.56,106.67,110,113.33,-,-,
木耳(黑色溼)(元/公斤),2017年,70,72,68.67,58.67,51.33,59,66.67,59.67,66,62.83,-,-,
鮑魚菇(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
杏鮑菇(元/公斤),2017年,-,-,-,-,-,72.11,73,72.22,76,77.33,-,-,
菱角(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
葡萄柚(元/公斤),2017年,25,25,25,-,-,-,-,-,20,17.44,-,-,
芒果(在來)(元/公斤),2017年,-,-,-,85.66,64.59,45.71,-,-,-,-,-,-,
芒果(愛文)(元/公斤),2017年,-,-,-,-,-,62.68,47.7,-,-,-,-,-,
芒果(金煌)(元/公斤),2017年,-,-,-,-,-,37.8,28.97,36.75,-,-,-,-,
番石榴(泰國)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(世紀)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
番石榴(珍珠)(元/公斤),2017年,66.93,63.08,47.97,14.74,16.46,24.33,19.26,23.19,32.28,28.88,-,-,
番石榴(加工用)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
蓮霧(元/公斤),2017年,80.25,106.17,69.39,48.76,44.69,34.08,14.4,-,-,-,-,-,
枇杷(元/公斤),2017年,-,79,147.72,137.97,-,-,-,-,-,-,-,-,
荔枝(黑葉)(元/公斤),2017年,-,-,-,-,-,46.81,50,-,-,-,-,-,
荔枝(桂味)(元/公斤),2017年,-,-,-,-,-,-,-,-,-,-,-,-,
