交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量,
106.12.11,FL2,豌豆-紅花,514,溪湖鎮,122,119,99,109.5,715,
106.12.11,FL6,豌豆-甜豌豆,514,溪湖鎮,115,101,95,102.6,237,
106.12.11,FN1,敏豆-白豆,514,溪湖鎮,109,100,93,100,71,
106.12.11,FN5,敏豆-醜豆,514,溪湖鎮,70,69.7,69.2,69.7,63,
106.12.11,FR1,青花苔,514,溪湖鎮,31.6,21.6,8,20.6,1830,
106.12.11,FT1,南瓜-木瓜形,514,溪湖鎮,20,20,20,20,150,
106.12.11,LA1,甘藍-初秋,514,溪湖鎮,25.3,17,12,17.6,17007,
106.12.11,LB1,小白菜-土白菜,514,溪湖鎮,18,13,9,13.3,750,
106.12.11,LC1,包心白菜-包白,514,溪湖鎮,15,12.3,8,12,11939,
106.12.11,LD1,青江白菜-小梗,514,溪湖鎮,14,11,7.5,10.9,1000,
106.12.11,LF2,蕹菜-小葉,514,溪湖鎮,65,48,30,48,400,
106.12.11,LG1,芹菜-青梗,514,溪湖鎮,45,33,20,32.5,700,
106.12.11,LI3,萵苣菜-本島圓葉,514,溪湖鎮,35,23.5,16,24.3,780,
106.12.11,LJ4,芥菜-小芥菜,514,溪湖鎮,27,19,10,18.6,890,
106.12.11,LK2,芥藍菜,514,溪湖鎮,23,17,13,17.5,800,
106.12.11,LM2,莧菜-白莧菜,514,溪湖鎮,63,44,37,46.7,380,
106.12.11,LN1,油菜,514,溪湖鎮,18,14,8,13,1190,
106.12.11,SA32,蘿蔔-矸仔,514,溪湖鎮,21.5,16,10.7,16,2180,
106.12.11,SB1,胡蘿蔔-未洗,514,溪湖鎮,20,13.8,8.2,13.9,3904,
106.12.11,SD9,洋蔥-進口,514,溪湖鎮,28,25,18,24.2,2600,
106.12.11,SE6,青蔥-粉蔥,514,溪湖鎮,62,50,40.5,50.7,1730,
106.12.11,SF3,韭菜-韭菜花,514,溪湖鎮,143,138,128,137.2,144,
106.12.11,SI1,萵苣莖,514,溪湖鎮,45,45,33.3,42.7,150,
106.12.11,SO0,甘薯-其他,514,溪湖鎮,22,17.4,11.6,17,1534,
106.12.11,SS1,大心菜-帶葉,514,溪湖鎮,36.6,31.5,26.7,31.6,1070,
106.12.11,SW1,球莖甘藍,514,溪湖鎮,24.6,12.2,8.8,14,5248,
106.12.11,SX1,芽菜類-綠豆芽,514,溪湖鎮,14,14,14,14,1100,
106.12.11,rest,休市,540,南投市,0,0,0,0,0,
106.12.11,11,椰子,600,嘉義市,12,11,8,11,1100,
106.12.11,22,棗子,600,嘉義市,83,51,50,51,250,
106.12.11,31,釋迦,600,嘉義市,100,71,50,71,500,
106.12.11,51,百香果-改良種,600,嘉義市,60,33,20,33,2000,
106.12.11,72,小番茄-聖女,600,嘉義市,45,38,33,38,1600,
106.12.11,74,小番茄-玉女,600,嘉義市,160,94,82,94,1000,
106.12.11,812,火龍果-紅肉,600,嘉義市,50,33,21,33,3000,
106.12.11,91,其他,600,嘉義市,25,20,12,20,4500,
106.12.11,A1,香蕉,600,嘉義市,26,18,14,18,2000,
106.12.11,B2,鳳梨-金鑽鳳梨,600,嘉義市,17,10,8,10,6800,
106.12.11,C1,椪柑,600,嘉義市,30,14,9,14,16000,
106.12.11,E1,甜橙-柳橙,600,嘉義市,30,20,15,20,12000,
106.12.11,F1,雜柑-檸檬,600,嘉義市,28,24,15,24,1000,
106.12.11,G3,酪梨,600,嘉義市,86,76,60,76,400,
106.12.11,G49,奇異果-進口,600,嘉義市,150,96,84,96,1400,
106.12.11,H2,柚子-白柚,600,嘉義市,17,10,8,10,1000,
106.12.11,H4,葡萄柚-紅肉,600,嘉義市,21,14,10,14,1200,
106.12.11,H6,西施柚-西施柚,600,嘉義市,17,10,8,10,2000,
106.12.11,I1,木瓜-網室紅肉,600,嘉義市,42,34,24,34,5600,
106.12.11,O9,梨-進口,600,嘉義市,120,111,95,111,1000,
106.12.11,OW,梨-雪梨,600,嘉義市,103,82,50,82,8800,
106.12.11,P1,番石榴-珍珠芭,600,嘉義市,32,23,19,23,4050,
106.12.11,Q1,蓮霧-紅蓮霧,600,嘉義市,66,48,32,48,2900,
106.12.11,S1,葡萄-巨峰,600,嘉義市,95,56,40,56,700,
106.12.11,S9,葡萄-進口,600,嘉義市,140,123,100,123,900,
106.12.11,T1,西瓜-大西瓜,600,嘉義市,35,21,17,21,2100,
106.12.11,T5,西瓜-黃肉,600,嘉義市,12,8,8,8,2400,
106.12.11,V1,甜瓜-美濃,600,嘉義市,18,15,13,15,250,
106.12.11,W1,洋香瓜-網狀紅肉,600,嘉義市,42,26,15,26,3800,
106.12.11,W2,洋香瓜-網狀綠肉,600,嘉義市,48,30,19,30,2200,
106.12.11,X09,蘋果-其他(進口),600,嘉義市,135,90,80,90,6300,
106.12.11,Z2,柿子-水柿,600,嘉義市,17,13,10,13,900,
106.12.11,Z4,柿子-甜柿,600,嘉義市,103,66,35,66,7500,
106.12.11,rest,休市,800,高雄市,0,0,0,0,0,
106.12.11,rest,休市,830,鳳山區,0,0,0,0,0,
106.12.11,rest,休市,900,屏東市,0,0,0,0,0,
106.12.11,rest,休市,930,台東市,0,0,0,0,0,

