name,pt_date_day,pt_1japt,pt_1tsait,pt_1sangt,pt_1glutrt,pt_1glutlt,pt_2japt,pt_2tsait,pt_2sangt,pt_2glutrt,pt_2glutlt,
基隆市  ,106.12.11,43.88,47.50,0.00,52.74,52.86,3860,4250,0,4607,4655,
台北市  ,106.12.11,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.11,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.11,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.11,41.77,44.76,0.00,48.96,48.61,3402,3820,0,4155,3950,
新竹縣  ,106.12.11,39.58,44.00,0.00,49.38,50.00,3306,3938,0,4272,4250,
苗栗縣  ,106.12.11,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.11,41.61,47.92,46.66,50.00,50.24,3194,3868,4055,4095,4028,
彰化縣  ,106.12.11,38.30,43.06,43.06,47.96,46.73,3229,4060,3921,4027,3831,
南投縣  ,106.12.11,39.60,44.05,44.45,50.00,49.82,3530,0,4000,4167,3750,
雲林縣  ,106.12.11,39.20,43.37,0.00,44.71,45.62,3267,3889,0,3904,3752,
嘉義市  ,106.12.11,39.85,0.00,0.00,47.47,46.67,3203,0,0,4017,3743,
嘉義縣  ,106.12.11,38.96,0.00,0.00,46.16,45.58,3165,0,0,3972,3722,
台南市  ,106.12.11,41.30,48.33,46.67,52.50,51.50,3270,3542,4000,4014,3786,
高雄市  ,106.12.11,40.13,0.00,45.32,47.83,47.83,3329,0,0,4237,4196,
屏東縣  ,106.12.11,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.11,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.11,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4333,
台東縣  ,106.12.11,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.11,41.87,0.00,0.00,51.67,51.67,3315,0,0,0,0,
基隆市  ,106.12.8,43.88,47.50,0.00,52.97,53.09,3860,4250,0,4607,4655,
台北市  ,106.12.8,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.8,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.8,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.8,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.8,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.8,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.8,41.61,47.92,46.66,50.00,50.24,3194,3868,4055,4095,4028,
彰化縣  ,106.12.8,38.30,43.06,43.06,47.96,46.73,3229,4060,3921,4027,3831,
南投縣  ,106.12.8,39.60,44.05,44.45,50.00,49.82,3530,0,4000,4167,3750,
雲林縣  ,106.12.8,39.20,43.37,0.00,44.71,45.62,3269,3889,0,3904,3752,
嘉義市  ,106.12.8,39.85,0.00,0.00,47.47,46.67,3203,0,0,4017,3743,
嘉義縣  ,106.12.8,38.96,0.00,0.00,46.16,45.58,3165,0,0,3972,3722,
台南市  ,106.12.8,41.30,48.33,46.67,53.33,52.13,3270,3542,4000,4014,3786,
高雄市  ,106.12.8,40.13,0.00,45.32,47.83,47.83,3329,0,0,4237,4196,
屏東縣  ,106.12.8,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.8,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.8,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4333,
台東縣  ,106.12.8,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.8,41.87,0.00,0.00,51.67,51.67,3315,0,0,0,0,
基隆市  ,106.12.7,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.12.7,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.7,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.7,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.7,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.7,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.7,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.7,41.61,47.92,46.66,50.00,50.24,3194,3868,4055,4095,4028,
彰化縣  ,106.12.7,38.30,43.06,43.06,47.96,46.73,3229,4060,3921,4027,3831,
南投縣  ,106.12.7,39.60,44.05,44.29,49.46,50.36,3530,0,4000,4167,3750,
雲林縣  ,106.12.7,39.20,43.37,0.00,44.71,45.62,3278,3889,0,3904,3760,
嘉義市  ,106.12.7,39.85,0.00,0.00,47.47,46.67,3203,0,0,4017,3743,
嘉義縣  ,106.12.7,38.96,0.00,0.00,46.16,45.58,3165,0,0,3972,3722,
台南市  ,106.12.7,41.30,48.33,46.67,52.50,54.00,3270,3542,4000,4014,3870,
高雄市  ,106.12.7,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.12.7,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.7,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.7,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.12.7,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.7,41.87,0.00,0.00,51.67,51.67,3315,0,0,0,0,
基隆市  ,106.12.6,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.12.6,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.6,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.6,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.6,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.6,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.6,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.6,41.61,47.92,46.66,50.00,50.24,3194,3868,4055,4095,4028,
彰化縣  ,106.12.6,38.30,43.06,43.06,47.96,46.73,3229,4060,3921,4027,3831,
南投縣  ,106.12.6,39.60,44.05,44.29,49.46,50.36,3530,0,4000,4167,3750,
雲林縣  ,106.12.6,39.20,43.37,0.00,44.71,45.62,3278,3889,0,3904,3760,
嘉義市  ,106.12.6,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.12.6,38.96,0.00,0.00,46.16,45.58,3154,0,0,3972,3722,
台南市  ,106.12.6,41.30,48.33,46.67,52.50,54.00,3252,3542,4000,3972,3897,
高雄市  ,106.12.6,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.12.6,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.6,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.6,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.12.6,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.6,41.87,0.00,0.00,51.67,51.67,3304,0,0,0,0,
基隆市  ,106.12.5,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.12.5,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.5,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.5,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.5,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.5,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.5,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.5,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.12.5,38.57,43.06,43.04,47.96,47.14,3229,4060,3921,4027,3831,
南投縣  ,106.12.5,39.60,44.05,44.29,49.46,50.36,3530,0,4000,4167,3750,
雲林縣  ,106.12.5,39.20,43.37,0.00,44.71,45.62,3273,3889,0,3893,3754,
嘉義市  ,106.12.5,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.12.5,38.96,0.00,0.00,46.16,45.58,3154,0,0,3972,3722,
台南市  ,106.12.5,41.30,48.33,46.67,52.50,54.00,3249,3542,3972,3972,3897,
高雄市  ,106.12.5,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.12.5,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.5,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.5,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.12.5,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.5,41.87,0.00,0.00,51.67,51.67,3304,0,0,0,0,
基隆市  ,106.12.4,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.12.4,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.4,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.4,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.4,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.4,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.4,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.4,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.12.4,38.57,43.06,43.04,47.96,47.14,3229,4060,3921,4027,3831,
南投縣  ,106.12.4,39.60,44.05,44.29,49.46,50.36,3530,0,4000,4167,3750,
雲林縣  ,106.12.4,39.20,43.37,0.00,44.71,45.62,3265,3889,0,3902,3760,
嘉義市  ,106.12.4,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.12.4,38.96,0.00,0.00,46.16,45.58,3154,0,0,3972,3722,
台南市  ,106.12.4,41.30,48.33,46.67,52.50,54.00,3249,3542,3972,3972,3897,
高雄市  ,106.12.4,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
宜蘭縣  ,106.12.4,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.4,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.12.4,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.4,41.87,0.00,0.00,51.67,51.67,3304,0,0,0,0,
基隆市  ,106.12.1,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.12.1,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.12.1,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.12.1,39.53,42.97,39.75,43.98,51.51,3189,3983,3810,3935,3854,
新竹市  ,106.12.1,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.12.1,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.12.1,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.12.1,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.12.1,38.57,43.06,43.04,47.96,47.14,3223,4060,3915,4014,3831,
南投縣  ,106.12.1,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.12.1,39.20,43.37,0.00,44.71,45.62,3265,3889,0,3902,3760,
嘉義市  ,106.12.1,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.12.1,38.96,0.00,0.00,46.16,45.58,3154,0,0,3972,3722,
台南市  ,106.12.1,41.30,48.33,46.67,52.50,54.00,3246,3542,3972,4028,3897,
高雄市  ,106.12.1,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.12.1,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.12.1,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.12.1,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.12.1,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.12.1,41.87,0.00,0.00,51.67,51.67,3304,0,0,0,0,
基隆市  ,106.11.30,43.88,47.28,0.00,52.97,53.09,3860,4195,0,4607,4643,
台北市  ,106.11.30,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.30,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.11.30,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.30,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.30,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.11.30,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.30,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.11.30,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.30,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.30,39.20,43.37,0.00,44.71,45.62,3255,3889,0,3861,3756,
嘉義市  ,106.11.30,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.11.30,38.96,0.00,0.00,46.16,45.58,3154,0,0,3972,3722,
台南市  ,106.11.30,41.30,48.33,46.67,52.50,54.00,3246,3542,3972,4028,3897,
高雄市  ,106.11.30,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.11.30,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.30,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.30,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.30,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.30,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.29,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.29,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.29,42.78,47.29,46.39,50.09,51.11,3754,4302,4143,4508,4500,
桃園市  ,106.11.29,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.29,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.29,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.11.29,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.29,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.11.29,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.29,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.29,39.20,43.37,0.00,44.71,45.62,3255,3889,0,3861,3756,
嘉義市  ,106.11.29,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.11.29,39.11,0.00,0.00,46.16,45.58,3169,0,0,3889,3708,
台南市  ,106.11.29,41.30,48.33,46.67,52.50,54.00,3246,3542,3972,4028,3897,
高雄市  ,106.11.29,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.11.29,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.29,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.29,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.29,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.29,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.28,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.28,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.28,42.69,47.29,46.20,50.28,51.11,3754,4176,4127,4492,4500,
桃園市  ,106.11.28,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.28,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.28,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.11.28,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.28,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.11.28,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.28,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.28,39.20,43.37,0.00,44.71,45.62,3253,3889,0,3854,3756,
嘉義市  ,106.11.28,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.11.28,39.11,0.00,0.00,46.16,45.58,3169,0,0,3889,3708,
台南市  ,106.11.28,41.30,48.33,46.67,52.50,54.00,3241,3542,3972,4028,3897,
高雄市  ,106.11.28,40.08,0.00,45.36,47.83,47.83,3323,0,0,4244,4190,
屏東縣  ,106.11.28,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.28,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.28,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.28,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.28,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.27,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.27,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.27,42.69,47.29,46.20,50.28,51.11,3754,4176,4127,4492,4500,
桃園市  ,106.11.27,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.27,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.27,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4231,4250,
苗栗縣  ,106.11.27,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.27,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4095,4028,
彰化縣  ,106.11.27,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.27,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.27,39.20,43.37,0.00,44.71,45.62,3248,3889,0,3847,3750,
嘉義市  ,106.11.27,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.11.27,39.11,0.00,0.00,46.16,45.58,3169,0,0,3889,3708,
台南市  ,106.11.27,41.30,48.33,46.67,52.50,54.00,3241,3542,3972,4028,3897,
高雄市  ,106.11.27,40.08,0.00,45.36,47.83,47.72,3323,0,0,4244,4190,
屏東縣  ,106.11.27,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.27,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.27,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.27,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.27,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.24,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.24,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.24,42.69,47.29,46.20,50.28,51.11,3754,4176,4127,4492,4500,
桃園市  ,106.11.24,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.24,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.24,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4258,4250,
苗栗縣  ,106.11.24,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.24,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4083,4028,
彰化縣  ,106.11.24,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.24,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.24,39.20,43.37,0.00,44.71,45.62,3245,3889,0,3847,3750,
嘉義市  ,106.11.24,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.11.24,39.11,0.00,0.00,46.16,45.58,3169,0,0,3889,3708,
台南市  ,106.11.24,41.30,48.33,46.67,52.50,54.00,3241,3542,3972,4028,3897,
高雄市  ,106.11.24,40.08,0.00,45.36,47.83,47.72,3323,0,0,4244,4190,
屏東縣  ,106.11.24,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.24,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.24,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.24,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.24,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.23,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.23,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.23,42.69,47.29,46.20,50.28,51.11,3754,4176,4127,4492,4500,
桃園市  ,106.11.23,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.23,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.23,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4258,4250,
苗栗縣  ,106.11.23,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.23,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4083,4028,
彰化縣  ,106.11.23,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.23,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.23,39.20,43.37,0.00,44.71,45.62,3241,3889,0,3847,3750,
嘉義市  ,106.11.23,39.85,0.00,0.00,47.47,46.67,3178,0,0,4017,3743,
嘉義縣  ,106.11.23,39.11,0.00,0.00,46.16,45.58,3169,0,0,3889,3708,
台南市  ,106.11.23,41.30,48.33,46.67,52.50,54.00,3241,3542,3972,4042,3897,
高雄市  ,106.11.23,40.08,0.00,45.36,47.83,47.72,3323,0,0,4244,4190,
屏東縣  ,106.11.23,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.23,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.23,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.23,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.23,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.22,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.22,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.22,42.69,47.29,46.20,50.28,51.11,3754,4176,4127,4492,4500,
桃園市  ,106.11.22,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.22,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.22,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4258,4250,
苗栗縣  ,106.11.22,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.22,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4083,4028,
彰化縣  ,106.11.22,38.57,43.06,43.04,48.16,47.14,3230,4107,3923,4014,3838,
南投縣  ,106.11.22,39.60,44.05,44.29,49.46,50.36,3522,0,4000,4167,3750,
雲林縣  ,106.11.22,39.20,43.37,0.00,44.71,45.62,3229,3889,0,3755,3747,
嘉義市  ,106.11.22,39.85,0.00,0.00,47.47,46.67,3170,0,0,4059,3750,
嘉義縣  ,106.11.22,39.11,0.00,0.00,46.16,45.58,3169,0,0,3889,3708,
台南市  ,106.11.22,41.30,48.33,46.67,52.50,54.00,3241,3542,3972,4042,3897,
高雄市  ,106.11.22,40.08,0.00,45.36,47.83,47.72,3323,0,0,4244,4190,
屏東縣  ,106.11.22,41.12,45.11,0.00,48.83,50.83,3393,0,0,4200,4123,
宜蘭縣  ,106.11.22,42.69,45.83,46.97,50.48,50.83,3321,0,4000,4250,4125,
花蓮縣  ,106.11.22,50.38,0.00,0.00,54.93,58.69,4288,0,0,4300,4195,
台東縣  ,106.11.22,53.10,0.00,0.00,56.75,61.59,4476,0,0,5197,4870,
澎湖縣  ,106.11.22,41.87,0.00,0.00,51.67,51.67,3319,0,0,0,0,
基隆市  ,106.11.21,43.96,47.50,0.00,52.97,53.09,3869,4195,0,4607,4643,
台北市  ,106.11.21,45.65,50.14,48.80,53.43,55.37,3658,4167,4146,4508,4508,
新北市  ,106.11.21,42.69,47.29,46.20,50.28,51.11,3754,4176,4127,4492,4500,
桃園市  ,106.11.21,39.53,42.97,39.75,43.98,51.51,3190,3983,3810,3935,3854,
新竹市  ,106.11.21,41.77,44.76,0.00,48.75,48.61,3390,3820,0,4131,3933,
新竹縣  ,106.11.21,39.48,44.00,0.00,49.17,49.44,3306,3938,0,4258,4250,
苗栗縣  ,106.11.21,39.24,0.00,0.00,45.22,49.08,3250,0,0,3989,4583,
台中市  ,106.11.21,41.61,47.92,46.66,50.00,50.24,3197,3868,4055,4083,4028,
