年度,地區別,雜糧類別,種植面積,收穫面積,每公頃平均產量,產量,
2015,嘉義縣,花豆,0.4,0.4,800,0.32,
2015,屏東縣,花豆,0.48,0.48,2279.17,1.094,
2015,台東縣,花豆,0.3,0.3,1383.33,0.415,
2015,花蓮縣,花豆,0,0,0,0,
2015,澎湖縣,花豆,0,0,0,0,
2015,基隆市,花豆,0,0,0,0,
2015, 新竹市,花豆,0,0,0,0,
2015,嘉義市,花豆,0,0,0,0,
2015,金門縣,花豆,0,0,0,0,
2015,連江縣,花豆,0,0,0,0,
2015,新北市,綠豆,0,0,0,0,
2015,台北市,綠豆,0,0,0,0,
2015,桃園市,綠豆,0,0,0,0,
2015,台中市,綠豆,0,0,0,0,
2015,台南市,綠豆,59.23,59.23,1216.26,72.039,
2015,高雄市,綠豆,18.66,18.66,1661.36,31.001,
2015,宜蘭縣,綠豆,0.17,0.17,417.65,0.071,
2015,新竹縣,綠豆,0,0,0,0,
2015,苗栗縣,綠豆,0,0,0,0,
2015,彰化縣,綠豆,0,0,0,0,
2015,南投縣,綠豆,0,0,0,0,
2015,雲林縣,綠豆,1.01,1.01,1217.82,1.23,
2015,嘉義縣,綠豆,47.82,47.82,827.19,39.556,
2015,屏東縣,綠豆,0,0,0,0,
2015,台東縣,綠豆,1.3,1.3,1007.69,1.31,
2015,花蓮縣,綠豆,0.65,0.65,1307.69,0.85,
2015,澎湖縣,綠豆,0,0,0,0,
2015,基隆市,綠豆,0,0,0,0,
2015, 新竹市,綠豆,0,0,0,0,
2015,嘉義市,綠豆,0,0,0,0,
2015,金門縣,綠豆,0,0,0,0,
2015,連江縣,綠豆,0,0,0,0,
2015,新北市,紅豆,0,0,0,0,
2015,台北市,紅豆,0,0,0,0,
2015,桃園市,紅豆,0,0,0,0,
2015,台中市,紅豆,3.05,3.05,1250.16,3.813,
2015,台南市,紅豆,48.27,48.27,1772.49,85.558,
2015,高雄市,紅豆,1503.45,1503.45,2113.76,3177.933,
2015,宜蘭縣,紅豆,0,0,0,0,
2015,新竹縣,紅豆,0,0,0,0,
2015,苗栗縣,紅豆,0.6,0.6,1000,0.6,
2015,彰化縣,紅豆,0.17,0.17,1776.47,0.302,
2015,南投縣,紅豆,0,0,0,0,
2015,雲林縣,紅豆,2.85,2.85,1505.96,4.292,
2015,嘉義縣,紅豆,25.17,25.17,1794.64,45.171,
2015,屏東縣,紅豆,4505.31,4505.31,2096.93,9447.326,
2015,台東縣,紅豆,0,0,0,0,
2015,花蓮縣,紅豆,0,0,0,0,
2015,澎湖縣,紅豆,0,0,0,0,
2015,基隆市,紅豆,0,0,0,0,
2015, 新竹市,紅豆,0,0,0,0,
2015,嘉義市,紅豆,0,0,0,0,
2015,金門縣,紅豆,0,0,0,0,
2015,連江縣,紅豆,0,0,0,0,
2015,新北市,落花生,35.86,35.86,1675.91,60.098,
2015,台北市,落花生,0,0,0,0,
2015,桃園市,落花生,4.16,4.16,1946.15,8.096,
2015,台中市,落花生,372.16,372.16,2568.34,955.832,
2015,台南市,落花生,275.36,275.36,2382.61,656.076,
2015,高雄市,落花生,199.06,199.06,2411.79,480.09,
2015,宜蘭縣,落花生,92.85,92.84,2654.79,246.471,
2015,新竹縣,落花生,7.63,7.63,2766.71,21.11,
2015,苗栗縣,落花生,106.27,106.27,1974.68,209.849,
2015,彰化縣,落花生,3282.6,3282.6,2202.46,7229.8,
2015,南投縣,落花生,13.2,13.2,2172.35,28.675,
2015,雲林縣,落花生,15139.31,15139.31,3275.04,49581.856,
2015,嘉義縣,落花生,402.24,402.24,2694.13,1083.685,
2015,屏東縣,落花生,195.27,195.27,2567.64,501.384,
2015,台東縣,落花生,39.69,39.69,2313.25,91.813,
2015,花蓮縣,落花生,362.43,362.43,1799.39,652.153,
2015,澎湖縣,落花生,172.39,172.07,1113.13,191.537,
2015,基隆市,落花生,0.04,0.04,1200,0.048,
2015, 新竹市,落花生,2.53,2.53,2095.65,5.302,
2015,嘉義市,落花生,0.6,0.6,5000,3,
2015,金門縣,落花生,39.23,39.23,1950.04,76.5,
2015,連江縣,落花生,0,0,0,0,
2015,新北市,其他豆類,0,0,0,0,
2015,台北市,其他豆類,0,0,0,0,
2015,桃園市,其他豆類,6.65,6.65,1937.14,12.882,
2015,台中市,其他豆類,4.62,4.62,1593.07,7.36,
2015,台南市,其他豆類,56.37,56.37,1041.88,58.731,
2015,高雄市,其他豆類,23.87,23.87,2326.23,55.527,
2015,宜蘭縣,其他豆類,7.49,7.49,2290.52,17.156,
2015,新竹縣,其他豆類,37.28,37.28,1757.11,65.505,
2015,苗栗縣,其他豆類,1.35,1.35,1485.19,2.005,
2015,彰化縣,其他豆類,2.78,2.78,1754.68,4.878,
2015,南投縣,其他豆類,0.5,0.5,2040,1.02,
2015,雲林縣,其他豆類,10.93,10.93,1774.57,19.396,
2015,嘉義縣,其他豆類,0.68,0.68,1219.12,0.829,
2015,屏東縣,其他豆類,10.59,10.39,1965.74,20.424,
2015,台東縣,其他豆類,63.15,63.15,1747.71,110.368,
2015,花蓮縣,其他豆類,22.37,22.37,1512.74,33.84,
2015,澎湖縣,其他豆類,0,0,0,0,
2015,基隆市,其他豆類,0,0,0,0,
2015, 新竹市,其他豆類,0,0,0,0,
2015,嘉義市,其他豆類,0,0,0,0,
2015,金門縣,其他豆類,0,0,0,0,
2015,連江縣,其他豆類,0,0,0,0,
2014,新北市,甘藷,420,420,13870,5825,
2014,台北市,甘藷,81,81,9290,757,
2014,台中市,甘藷,859,859,21434,18415,
2014,台南市,甘藷,922,922,28819,26558,
2014,高雄市,甘藷,220,220,19314,4248,
2014,宜蘭縣,甘藷,68,68,20886,1430,
2014,桃園縣,甘藷,90,90,19424,1750,
2014,新竹縣,甘藷,105,105,17335,1815,
2014,苗栗縣,甘藷,374,374,19803,7404,
2014,彰化縣,甘藷,1263,1263,32312,40819,
2014,南投縣,甘藷,62,62,18310,1135,
2014,雲林縣,甘藷,4367,4367,23971,104678,
2014,嘉義縣,甘藷,463,463,20259,9372,
2014,屏東縣,甘藷,222,222,14316,3173,
2014,台東縣,甘藷,295,295,9733,2867,
2014,花蓮縣,甘藷,194,194,15256,2962,
2014,澎湖縣,甘藷,93,93,11751,1089,
2014,基隆市,甘藷,1,1,9954,11,
2014,新竹市,甘藷,14,14,18555,267,
2014,嘉義市,甘藷,4,4,18783,75,
2014,金門縣,甘藷,12,12,19418,234,
2014,連江縣,甘藷,-,-,-,-,
2014,新北市,小麥,-,-,-,-,
2014,台北市,小麥,-,-,-,-,
2014,台中市,小麥,92,92,3474,319,
2014,台南市,小麥,58,58,2146,123,
2014,高雄市,小麥,1,1,2000,2,
2014,宜蘭縣,小麥,-,-,-,-,
2014,桃園縣,小麥,43,43,1315,57,
2014,新竹縣,小麥,-,-,-,-,
2014,苗栗縣,小麥,33,33,2500,83,
2014,彰化縣,小麥,46,46,3980,183,
2014,南投縣,小麥,-,-,-,-,
2014,雲林縣,小麥,-,-,-,-,
2014,嘉義縣,小麥,34,34,1681,57,
2014,屏東縣,小麥,-,-,-,-,
2014,台東縣,小麥,13,13,1499,19,
2014,花蓮縣,小麥,1,1,1600,1,
2014,澎湖縣,小麥,-,-,-,-,
2014,基隆市,小麥,-,-,-,-,
2014,新竹市,小麥,-,-,-,-,
2014,嘉義市,小麥,-,-,-,-,
2014,金門縣,小麥,1889,1889,3159,5967,
2014,連江縣,小麥,-,-,-,-,
2014,新北市,飼料用玉蜀黍,-,-,-,-,
2014,台北市,飼料用玉蜀黍,-,-,-,-,
2014,台中市,飼料用玉蜀黍,-,-,-,-,
2014,台南市,飼料用玉蜀黍,7199,7199,4696,33811,
2014,高雄市,飼料用玉蜀黍,337,337,4123,1389,
2014,宜蘭縣,飼料用玉蜀黍,-,-,-,-,
2014,桃園縣,飼料用玉蜀黍,-,-,-,-,
2014,新竹縣,飼料用玉蜀黍,-,-,-,-,
2014,苗栗縣,飼料用玉蜀黍,-,-,-,-,
2014,彰化縣,飼料用玉蜀黍,14,14,5344,74,
2014,南投縣,飼料用玉蜀黍,-,-,-,-,
2014,雲林縣,飼料用玉蜀黍,303,303,4779,1450,
2014,嘉義縣,飼料用玉蜀黍,5406,5406,4493,24291,
2014,屏東縣,飼料用玉蜀黍,19,19,4536,88,
2014,台東縣,飼料用玉蜀黍,70,70,5611,394,
2014,花蓮縣,飼料用玉蜀黍,193,193,3578,689,
2014,澎湖縣,飼料用玉蜀黍,-,-,-,-,
2014,基隆市,飼料用玉蜀黍,-,-,-,-,
2014,新竹市,飼料用玉蜀黍,-,-,-,-,
2014,嘉義市,飼料用玉蜀黍,1,1,4800,6,
2014,金門縣,飼料用玉蜀黍,-,-,-,-,
2014,連江縣,飼料用玉蜀黍,-,-,-,-,
2014,新北市,食用玉蜀黍,92,92,3915,360,
2014,台北市,食用玉蜀黍,6,6,4995,30,
2014,台中市,食用玉蜀黍,228,228,6235,1421,
2014,台南市,食用玉蜀黍,1916,1916,7907,15149,
2014,高雄市,食用玉蜀黍,1002,1002,6373,6385,
2014,宜蘭縣,食用玉蜀黍,26,26,4814,125,
2014,桃園縣,食用玉蜀黍,40,40,5012,199,
2014,新竹縣,食用玉蜀黍,129,129,7778,1002,
2014,苗栗縣,食用玉蜀黍,388,388,7556,2932,
2014,彰化縣,食用玉蜀黍,434,434,7294,3165,
2014,南投縣,食用玉蜀黍,244,244,7595,1855,
2014,雲林縣,食用玉蜀黍,5797,5796,9031,52340,
2014,嘉義縣,食用玉蜀黍,1563,1563,6234,9740,
2014,屏東縣,食用玉蜀黍,844,844,6121,5165,
2014,台東縣,食用玉蜀黍,183,183,5080,928,
2014,花蓮縣,食用玉蜀黍,503,502,4684,2350,
2014,澎湖縣,食用玉蜀黍,40,40,7250,290,
2014,基隆市,食用玉蜀黍,0,0,4571,0,
2014,新竹市,食用玉蜀黍,17,17,5342,93,
2014,嘉義市,食用玉蜀黍,10,10,6576,64,
2014,金門縣,食用玉蜀黍,2,2,6556,13,
2014,連江縣,食用玉蜀黍,-,-,-,-,
2014,新北市,粟,-,-,-,-,
2014,台北市,粟,-,-,-,-,
2014,台中市,粟,-,-,-,-,
2014,台南市,粟,-,-,-,-,
2014,高雄市,粟,4,4,2726,11,
2014,宜蘭縣,粟,-,-,-,-,
2014,桃園縣,粟,-,-,-,-,
2014,新竹縣,粟,-,-,-,-,
2014,苗栗縣,粟,3,3,2000,5,
2014,彰化縣,粟,-,-,-,-,
2014,南投縣,粟,-,-,-,-,
2014,雲林縣,粟,-,-,-,-,
2014,嘉義縣,粟,-,-,-,-,
2014,屏東縣,粟,105,105,1997,210,
2014,台東縣,粟,257,257,1872,482,
2014,花蓮縣,粟,0,0,1200,0,
2014,澎湖縣,粟,-,-,-,-,
2014,基隆市,粟,-,-,-,-,
2014,新竹市,粟,-,-,-,-,
2014,嘉義市,粟,-,-,-,-,
2014,金門縣,粟,-,-,-,-,
2014,連江縣,粟,-,-,-,-,
2014,新北市,蜀黍,-,-,-,-,
2014,台北市,蜀黍,-,-,-,-,
2014,台中市,蜀黍,0,0,3089,1,
2014,台南市,蜀黍,-,-,-,-,
2014,高雄市,蜀黍,0,0,2900,0,
2014,宜蘭縣,蜀黍,-,-,-,-,
2014,桃園縣,蜀黍,-,-,-,-,
2014,新竹縣,蜀黍,-,-,-,-,
2014,苗栗縣,蜀黍,0,0,3500,1,
2014,彰化縣,蜀黍,1,1,2646,3,
2014,南投縣,蜀黍,-,-,-,-,
2014,雲林縣,蜀黍,18,0,3800,1,
2014,嘉義縣,蜀黍,0,0,4000,1,
2014,屏東縣,蜀黍,0,0,2653,1,
2014,台東縣,蜀黍,0,0,3000,1,
2014,花蓮縣,蜀黍,-,-,-,-,
2014,澎湖縣,蜀黍,0,0,2300,0,
2014,基隆市,蜀黍,-,-,-,-,
2014,新竹市,蜀黍,-,-,-,-,
2014,嘉義市,蜀黍,-,-,-,-,
2014,金門縣,蜀黍,2035,2035,1078,2194,
2014,連江縣,蜀黍,-,-,-,-,
2014,新北市,其他糧食作物,-,-,-,-,
2014,台北市,其他糧食作物,-,-,-,-,
2014,台中市,其他糧食作物,48,48,1807,86,
2014,台南市,其他糧食作物,13,13,2101,26,
2014,高雄市,其他糧食作物,9,9,1636,14,
2014,宜蘭縣,其他糧食作物,0,0,3100,0,
2014,桃園縣,其他糧食作物,1,1,1000,1,
2014,新竹縣,其他糧食作物,-,-,-,-,
2014,苗栗縣,其他糧食作物,-,-,-,-,
2014,彰化縣,其他糧食作物,41,41,2796,115,
2014,南投縣,其他糧食作物,10,10,2678,28,
2014,雲林縣,其他糧食作物,-,-,-,-,
2014,嘉義縣,其他糧食作物,33,33,2139,70,
2014,屏東縣,其他糧食作物,80,80,1893,151,
2014,台東縣,其他糧食作物,4,4,2158,8,
2014,花蓮縣,其他糧食作物,12,12,1900,23,
2014,澎湖縣,其他糧食作物,-,-,-,-,
2014,基隆市,其他糧食作物,-,-,-,-,
2014,新竹市,其他糧食作物,-,-,-,-,
2014,嘉義市,其他糧食作物,-,-,-,-,
2014,金門縣,其他糧食作物,-,-,-,-,
2014,連江縣,其他糧食作物,-,-,-,-,
2014,新北市,大豆,-,-,-,-,
2014,台北市,大豆,-,-,-,-,
2014,台中市,大豆,4,4,2400,10,
2014,台南市,大豆,230,230,1620,372,
2014,高雄市,大豆,182,182,1706,310,
2014,宜蘭縣,大豆,2,2,1600,3,
2014,桃園縣,大豆,-,-,-,-,
2014,新竹縣,大豆,-,-,-,-,
2014,苗栗縣,大豆,26,26,1636,42,
2014,彰化縣,大豆,13,13,1500,19,
2014,南投縣,大豆,-,-,-,-,
2014,雲林縣,大豆,50,38,1626,62,
2014,嘉義縣,大豆,66,66,2345,155,
2014,屏東縣,大豆,61,61,1931,117,
2014,台東縣,大豆,5,5,2000,9,
2014,花蓮縣,大豆,42,42,1713,73,
2014,澎湖縣,大豆,-,-,-,-,
2014,基隆市,大豆,-,-,-,-,
2014,新竹市,大豆,-,-,-,-,
2014,嘉義市,大豆,-,-,-,-,
2014,金門縣,大豆,-,-,-,-,
2014,連江縣,大豆,-,-,-,-,
2014,新北市,花豆,-,-,-,-,
2014,台北市,花豆,-,-,-,-,
2014,台中市,花豆,-,-,-,-,
2014,台南市,花豆,0,0,3000,0,
2014,高雄市,花豆,0,0,1820,1,
2014,宜蘭縣,花豆,-,-,-,-,
2014,桃園縣,花豆,-,-,-,-,
2014,新竹縣,花豆,-,-,-,-,
2014,苗栗縣,花豆,-,-,-,-,
2014,彰化縣,花豆,1,1,2000,1,
2014,南投縣,花豆,-,-,-,-,
2014,雲林縣,花豆,0,0,2000,0,
2014,嘉義縣,花豆,0,0,2000,0,
2014,屏東縣,花豆,-,-,-,-,
2014,台東縣,花豆,0,0,1700,1,
2014,花蓮縣,花豆,0,0,1120,0,
2014,澎湖縣,花豆,-,-,-,-,
2014,基隆市,花豆,-,-,-,-,
2014,新竹市,花豆,-,-,-,-,
2014,嘉義市,花豆,-,-,-,-,
2014,金門縣,花豆,-,-,-,-,
2014,連江縣,花豆,-,-,-,-,
2014,新北市,綠豆,-,-,-,-,
2014,台北市,綠豆,-,-,-,-,
2014,台中市,綠豆,-,-,-,-,
2014,台南市,綠豆,127,127,1095,139,
2014,高雄市,綠豆,2,2,1104,2,
2014,宜蘭縣,綠豆,-,-,-,-,
2014,桃園縣,綠豆,-,-,-,-,
2014,新竹縣,綠豆,-,-,-,-,
2014,苗栗縣,綠豆,-,-,-,-,
2014,彰化縣,綠豆,0,0,1000,0,
2014,南投縣,綠豆,-,-,-,-,
2014,雲林縣,綠豆,2,2,1062,2,
2014,嘉義縣,綠豆,14,14,1059,15,
2014,屏東縣,綠豆,-,-,-,-,
2014,台東縣,綠豆,-,-,-,-,
2014,花蓮縣,綠豆,-,-,-,-,
2014,澎湖縣,綠豆,-,-,-,-,
2014,基隆市,綠豆,-,-,-,-,
2014,新竹市,綠豆,-,-,-,-,
2014,嘉義市,綠豆,-,-,-,-,
2014,金門縣,綠豆,-,-,-,-,
2014,連江縣,綠豆,-,-,-,-,
2014,新北市,紅豆,-,-,-,-,
2014,台北市,紅豆,-,-,-,-,
2014,台中市,紅豆,-,-,-,-,
2014,台南市,紅豆,49,49,1954,96,
2014,高雄市,紅豆,1336,1336,1890,2526,
2014,宜蘭縣,紅豆,-,-,-,-,
2014,桃園縣,紅豆,-,-,-,-,
2014,新竹縣,紅豆,-,-,-,-,
2014,苗栗縣,紅豆,-,-,-,-,
2014,彰化縣,紅豆,-,-,-,-,
2014,南投縣,紅豆,-,-,-,-,
2014,雲林縣,紅豆,1,1,1297,2,
2014,嘉義縣,紅豆,17,17,2232,38,
2014,屏東縣,紅豆,4480,4480,2033,9106,
2014,台東縣,紅豆,-,-,-,-,
2014,花蓮縣,紅豆,-,-,-,-,
2014,澎湖縣,紅豆,-,-,-,-,
2014,基隆市,紅豆,-,-,-,-,
2014,新竹市,紅豆,-,-,-,-,
2014,嘉義市,紅豆,-,-,-,-,
2014,金門縣,紅豆,-,-,-,-,
2014,連江縣,紅豆,-,-,-,-,
2014,新北市,落花生,35,35,1607,56,
2014,台北市,落花生,-,-,-,-,
2014,台中市,落花生,342,342,2651,906,
2014,台南市,落花生,311,311,2389,743,
2014,高雄市,落花生,237,237,2389,566,
2014,宜蘭縣,落花生,104,104,2693,279,
2014,桃園縣,落花生,7,7,1888,12,
2014,新竹縣,落花生,11,11,2726,29,
2014,苗栗縣,落花生,97,97,2185,211,
2014,彰化縣,落花生,3247,3247,2601,8444,
2014,南投縣,落花生,18,18,1954,35,
2014,雲林縣,落花生,16022,16022,3407,54583,
2014,嘉義縣,落花生,465,465,2629,1221,
2014,屏東縣,落花生,181,181,2629,475,
2014,台東縣,落花生,42,42,2323,97,
2014,花蓮縣,落花生,323,323,1834,593,
2014,澎湖縣,落花生,174,174,1156,201,
2014,基隆市,落花生,-,-,-,-,
2014,新竹市,落花生,3,3,2147,6,
2014,嘉義市,落花生,1,1,3500,4,
2014,金門縣,落花生,27,27,1924,52,
2014,連江縣,落花生,-,-,-,-,
2014,新北市,其他豆類,-,-,-,-,
2014,台北市,其他豆類,-,-,-,-,
2014,台中市,其他豆類,4,4,1407,6,
2014,台南市,其他豆類,14,14,1582,21,
2014,高雄市,其他豆類,22,22,2543,56,
2014,宜蘭縣,其他豆類,1,1,1897,1,
2014,桃園縣,其他豆類,4,4,1631,7,
2014,新竹縣,其他豆類,34,34,1216,41,
2014,苗栗縣,其他豆類,-,-,-,-,
2014,彰化縣,其他豆類,4,4,2766,12,
2014,南投縣,其他豆類,0,0,1500,0,
2014,雲林縣,其他豆類,19,19,1786,33,
2014,嘉義縣,其他豆類,2,2,1400,2,
2014,屏東縣,其他豆類,19,19,1985,38,
2014,台東縣,其他豆類,55,55,2204,122,
2014,花蓮縣,其他豆類,11,11,1651,18,
2014,澎湖縣,其他豆類,-,-,-,-,
2014,基隆市,其他豆類,-,-,-,-,
2014,新竹市,其他豆類,-,-,-,-,
2014,嘉義市,其他豆類,-,-,-,-,
2014,金門縣,其他豆類,-,-,-,-,
2014,連江縣,其他豆類,-,-,-,-,
2013,新北市,甘藷,427.75,427.75,16095.64,6884.908,
2013,台北市,甘藷,83.86,83.86,8932.71,749.097,
2013,台中市,甘藷,970.22,970.22,19704.49,19117.686,
2013,台南市,甘藷,760.62,756.97,28934.86,21902.822,
2013,高雄市,甘藷,211.99,211.99,18806.64,3986.819,
2013,宜蘭縣,甘藷,61.59,61.59,20664.33,1272.716,
2013,桃園縣,甘藷,61.93,61.93,20003.07,1238.79,
2013,新竹縣,甘藷,93,93,17851.75,1660.213,
2013,苗栗縣,甘藷,364,364,15567.12,5666.433,
2013,彰化縣,甘藷,1253.68,1253.68,31116.92,39010.658,
2013,南投縣,甘藷,67.73,67.73,18309.17,1240.08,
2013,雲林縣,甘藷,4100.94,4100.94,22988.37,94273.936,
2013,嘉義縣,甘藷,424.4,424.4,20377.42,8648.175,
2013,屏東縣,甘藷,208.11,208.08,14135.01,2941.212,
2013,台東縣,甘藷,291.85,291.85,8566.09,2500.014,
2013,花蓮縣,甘藷,156.03,156.03,15278.66,2383.93,
2013,澎湖縣,甘藷,94.29,94.29,11333.48,1068.634,
2013,基隆市,甘藷,1.23,1.23,10004.07,12.305,
2013,新竹市,甘藷,15.13,15.13,18055.19,273.175,
2013,嘉義市,甘藷,2.65,2.65,18500,49.025,
2013,金門縣,甘藷,10.89,10.89,19488.98,212.235,
2013,連江縣,甘藷,0,0,0,0,
2013,新北市,小麥,0.15,0,0,0,
2013,台北市,小麥,0,0,0,0,
2013,台中市,小麥,73.25,73.25,2849.9,208.755,
2013,台南市,小麥,31.19,31.19,2000,62.38,
2013,高雄市,小麥,0,0,0,0,
2013,宜蘭縣,小麥,2.2,2.2,727.27,1.6,
2013,桃園縣,小麥,7.44,7.44,1732.53,12.89,
2013,新竹縣,小麥,0,0,0,0,
2013,苗栗縣,小麥,21.77,21.77,2100,45.717,
2013,彰化縣,小麥,1.15,1.15,3800,4.37,
2013,南投縣,小麥,0,0,0,0,
2013,雲林縣,小麥,0,0,0,0,
2013,嘉義縣,小麥,22.02,22.02,1519.53,33.46,
2013,屏東縣,小麥,0,0,0,0,
2013,台東縣,小麥,6.5,6.5,1500,9.75,
2013,花蓮縣,小麥,0,0,0,0,
2013,澎湖縣,小麥,0,0,0,0,
2013,基隆市,小麥,0,0,0,0,
2013,新竹市,小麥,0,0,0,0,
2013,嘉義市,小麥,0,0,0,0,
2013,金門縣,小麥,1912.18,1909.23,1962.98,3747.784,
2013,連江縣,小麥,0,0,0,0,
2013,新北市,飼料用玉蜀黍,0,0,0,0,
2013,台北市,飼料用玉蜀黍,0,0,0,0,
2013,台中市,飼料用玉蜀黍,1.1,1.1,4600,5.06,
2013,台南市,飼料用玉蜀黍,3586.09,3586.09,4721.08,16930.233,
2013,高雄市,飼料用玉蜀黍,91.28,91.28,4114.2,375.544,
2013,宜蘭縣,飼料用玉蜀黍,0.25,0.25,5000,1.25,
2013,桃園縣,飼料用玉蜀黍,0,0,0,0,
2013,新竹縣,飼料用玉蜀黍,0,0,0,0,
2013,苗栗縣,飼料用玉蜀黍,0,0,0,0,
2013,彰化縣,飼料用玉蜀黍,13.14,13.14,5706.62,74.985,
2013,南投縣,飼料用玉蜀黍,0.25,0.25,5012,1.253,
2013,雲林縣,飼料用玉蜀黍,83.19,83.19,4707.66,391.63,
2013,嘉義縣,飼料用玉蜀黍,4081.92,4081.92,4770.91,19474.483,
2013,屏東縣,飼料用玉蜀黍,92.86,92.86,5668.11,526.341,
2013,台東縣,飼料用玉蜀黍,118.76,118.76,5585.75,663.364,
2013,花蓮縣,飼料用玉蜀黍,281.15,281.15,3541.18,995.602,
2013,澎湖縣,飼料用玉蜀黍,0,0,0,0,
2013,基隆市,飼料用玉蜀黍,0,0,0,0,
2013,新竹市,飼料用玉蜀黍,0,0,0,0,
2013,嘉義市,飼料用玉蜀黍,0,0,0,0,
2013,金門縣,飼料用玉蜀黍,0,0,0,0,
2013,連江縣,飼料用玉蜀黍,0,0,0,0,
2013,新北市,食用玉蜀黍,85.63,85.63,3903.97,334.297,
2013,台北市,食用玉蜀黍,4.03,4.03,3981.39,16.045,
2013,台中市,食用玉蜀黍,227.24,227.24,6107.41,1387.848,
2013,台南市,食用玉蜀黍,1664.05,1664.05,7953.01,13234.213,
2013,高雄市,食用玉蜀黍,978.13,978.13,5970.51,5839.935,
2013,宜蘭縣,食用玉蜀黍,23.26,23.26,4765.99,110.857,
2013,桃園縣,食用玉蜀黍,42.43,42.43,4957.48,210.346,
2013,新竹縣,食用玉蜀黍,108.94,108.94,6842.06,745.374,
2013,苗栗縣,食用玉蜀黍,253.21,253.21,7316.97,1852.729,
2013,彰化縣,食用玉蜀黍,516.42,516.42,7406.23,3824.723,
2013,南投縣,食用玉蜀黍,255.66,255.66,7915.08,2023.57,
2013,雲林縣,食用玉蜀黍,5507.64,5507.64,8408.5,46310.965,
2013,嘉義縣,食用玉蜀黍,1526.27,1526.27,6124.51,9347.66,
2013,屏東縣,食用玉蜀黍,761.1,761.1,6057.24,4610.162,
2013,台東縣,食用玉蜀黍,166.89,166.89,5432.18,906.576,
2013,花蓮縣,食用玉蜀黍,444.46,444.46,4681.03,2080.53,
2013,澎湖縣,食用玉蜀黍,40.54,40.54,7158.63,290.211,
2013,基隆市,食用玉蜀黍,0.27,0.27,3640.74,0.983,
2013,新竹市,食用玉蜀黍,16.12,16.12,5178.1,83.471,
2013,嘉義市,食用玉蜀黍,36.55,36.55,6528.32,238.61,
2013,金門縣,食用玉蜀黍,2.19,2.19,7383.11,16.169,
2013,連江縣,食用玉蜀黍,0,0,0,0,
2013,新北市,粟,0,0,0,0,
2013,台北市,粟,0,0,0,0,
2013,台中市,粟,0,0,0,0,
2013,台南市,粟,0,0,0,0,
2013,高雄市,粟,4.68,4.68,2539.32,11.884,
2013,宜蘭縣,粟,0,0,0,0,
2013,桃園縣,粟,0,0,0,0,
2013,新竹縣,粟,0,0,0,0,
2013,苗栗縣,粟,0,0,0,0,
2013,彰化縣,粟,0,0,0,0,
2013,南投縣,粟,0,0,0,0,
2013,雲林縣,粟,0,0,0,0,
2013,嘉義縣,粟,1.4,1.4,2000,2.8,
2013,屏東縣,粟,129.27,129.27,2005.46,259.246,
2013,台東縣,粟,177.7,177.7,1701.25,302.313,
2013,花蓮縣,粟,0,0,0,0,
2013,澎湖縣,粟,0,0,0,0,
2013,基隆市,粟,0,0,0,0,
2013,新竹市,粟,0,0,0,0,
2013,嘉義市,粟,0,0,0,0,
2013,金門縣,粟,0,0,0,0,
2013,連江縣,粟,0,0,0,0,
2013,新北市,蜀黍,0,0,0,0,
2013,台北市,蜀黍,0,0,0,0,
2013,台中市,蜀黍,0.2,0.2,3000,0.6,
2013,台南市,蜀黍,0.36,0.36,4011.11,1.444,
2013,高雄市,蜀黍,0,0,0,0,
2013,宜蘭縣,蜀黍,0,0,0,0,
2013,桃園縣,蜀黍,0,0,0,0,
2013,新竹縣,蜀黍,0.2,0.2,4000,0.8,
2013,苗栗縣,蜀黍,0,0,0,0,
2013,彰化縣,蜀黍,0,0,0,0,
2013,南投縣,蜀黍,0,0,0,0,
2013,雲林縣,蜀黍,1.1,1.1,4618.18,5.08,
2013,嘉義縣,蜀黍,0,0,0,0,
2013,屏東縣,蜀黍,0.86,0.86,2872.09,2.47,
2013,台東縣,蜀黍,1.4,1.4,3492.86,4.89,
2013,花蓮縣,蜀黍,0,0,0,0,
2013,澎湖縣,蜀黍,0.15,0.15,2200,0.33,
2013,基隆市,蜀黍,0,0,0,0,
2013,新竹市,蜀黍,0,0,0,0,
2013,嘉義市,蜀黍,0,0,0,0,
2013,金門縣,蜀黍,2016.39,1965.24,1671.3,3284.502,
2013,連江縣,蜀黍,0,0,0,0,
2013,新北市,其他糧食作物,0,0,0,0,
2013,台北市,其他糧食作物,0,0,0,0,
2013,台中市,其他糧食作物,47.55,47.55,2387.8,113.54,
2013,台南市,其他糧食作物,9.32,9.32,1398.07,13.03,
2013,高雄市,其他糧食作物,7.15,7.15,894.83,6.398,
2013,宜蘭縣,其他糧食作物,0.85,0.85,1764.71,1.5,
2013,桃園縣,其他糧食作物,0,0,0,0,
2013,新竹縣,其他糧食作物,3,3,2000,6,
2013,苗栗縣,其他糧食作物,0,0,0,0,
2013,彰化縣,其他糧食作物,20.85,20.85,1976.02,41.2,
2013,南投縣,其他糧食作物,6.76,6.76,2713.91,18.346,
2013,雲林縣,其他糧食作物,1.7,1.7,1500,2.55,
2013,嘉義縣,其他糧食作物,24.55,24.55,2117.8,51.992,
2013,屏東縣,其他糧食作物,46.79,46.79,2000.09,93.584,
2013,台東縣,其他糧食作物,4.95,4.95,1469.7,7.275,
